"goes back of a length, but still manages to move the ball into Simmons. Nudged to square leg"
"shortish and outside off at 129 kph, Rohit slaps it into the covers"
"square leg dives, but he can't pull this effortless flick back. Some inswing again from RP, this one was planted fuller. Ishant's throw comes through in front of the stumps, Dhoni runs forward and flicks the ball back at the stumps with one hand."
width on offer and the 130 kph delivery has been cracked through the covers. All he had to do was pick the gap
"135kph, full and straight, turned to long leg"
"shortish on middle, defended. I hear KP saying 'good finish' on his mic."
"strikes first ball! It's a good length ball that Rohit plays around, struck low enough on the front pad and in line with the stumps, but he wasn't entirely happy with the decision."
"well, that's not the best ball to follow up. But he is working on his angle into the right-hander, looking for more lbws. This one just strays too far down leg"
"137 kph, that's near his top pace now and he's getting lovely inswing too. Started it outside off and it hooped towards Simmons. Steers it to point"
leans forward and presents the full face as Pandya drives into the covers. Top shot for a pinchhitter
"beaten! This is at 142 kph! Ishant gets this to hold its line, often a measure of him being in top form. Pandya plays a lazy drive and gets nothing on it"
shortish and down leg side. Pandya lets it go and chews his gum like he just don't care.
"good length just outside off, defended into the covers"
"that cuts back in and Pandya's going to have a big bruise on his upper thigh. Goes down on one knee to get a measure of himself. Lots more pace on this pitch, it seems. Back of a length ball just surged"
"fuller ball outside off, driven to to mid-off"
"that's enough of that, says Simmons. They've been playing orthodox cricket so far, knocking it around, getting used to the pace of the pitch. Now he runs down the track and lofts RP right over his head"
tucked away to deep square leg
"134 kph, good work from RP. Saw Pandya walking at him and dug it in short. Had a little nip back in too, and the batsman struggles to work it to square leg"
"definitely a lot more pace on this track. This is RP bowling in the mid-130s and he gets a shortish one to zip past Simmons' outside edge, outside off"
"134kph, shortish and outside off, Simmons feels it would bounce a lot more - both his feet are off the ground as he tries to cut - and gets a bottom edge to the keeper"
"slashed over the covers! This was a length which allows Pandya the liberty to get under. That offside infield looks solid, but that needed a 30-foot tall man to rein it back"
"backs away and chainsaws the ball over third man. More of a top-edge, but with him going so hard at the ball and Ishant's pace, all is well"
"but without any room, Pandya can only block a shortish delivery down the pitch"
"another huge appeal from Ishant, with his hands up in the air like he just doesn't care. Pandya was flicking across the line, but this full ball was going down leg"
"141 kph, hoo boy, Ishant is pumped up! He's shattered Simmons' stumps with a peach of an inswinger. Bowled it full and on off stump, the batsman lazily attempts to flick it through leg. The resulting bat and pad gap is more than enough for the ball to surge through"
how bout that for a 360 degree batsman. Pays respect to a back of a length ball outside off by leaving it quite well alone
