"starts off with a wonderful yorker first up and goes up in loud appeal. Shake of the head by the umpire and Jason Holder has <b>gone up for a review</b>. Ultra-Edge confirms no bat.Pitches on middle, swings in late, and <b>it's taking out leg stump</b>. What a start for West Indies! Wicket off the first ball, and it's Martin Guptill, the man who hit 237 against them in the 2015 World Cup quarterfinal"
"full toss second ball outside off, stroked easily through cover, and a bit of comical fielding by Brathwaite. He was running after the ball and dived <b>too early</b> with the ball still away from him! Ends up sprawled on the ground with the ball running away from him, until Shai Hope scrambles and picks it up. To no avail - they have run four!"
"fuller on off, patted back"
"overpitched outside off, and a trademark Kane Williamson cover drive, all touch and elegance. No comical misfields that time, and Brathwaite got a hand to it diving to his left inside the circle to slow it up"
"<b>take a bow Sheldon Cottrell. take a salute</b>. Inswinging yorker, late swing again and Colin Munro has no clue about it as it shatters his stumps. He's got both openers for golden ducks in his opening over."
"too full on the pads, and tucked away nicely by Taylor through midwicket. Big chase put in and they get three. What a first over."
jags back in sharply off a length and hits Taylor on the back thigh pad
"given width outside off and flayed through point, magnificently timed square drive. He's in form, it shows."
"fuller length on off, he gets behind it solidly and defends"
""
""
"<b>chipped in the air but short of cover</b>. Fuller outside off, he went for the drive but mis-timed it. Didn't carry to the fielder though"
"fuller on the stumps, clipped to mid-on"
"he's sticking to the new strategy of bowling full. This one is yorker length outside off, Kane tries to slide it down to third man, but misses"
"<b>ooh that's a beauty</b>. changes his length up, pitching it on the hard length and getting it to jag across him. Squares up Kane and whistles past his outside edge"
"and another one pitched fuller, Kane has a go at the drive, but the angle takes it past his outside edge again. 'Have another catcher, please' says Ian Bishop on air."
"full outside off again, but this time he's able to get to the pitch of the ball and drive to mid-off"
"another one jagging across Williamson, pitched on back of a length, has him feeling for it. Misses the outside edge again. <b>Maiden</b>"
"length ball on the pads, tucked to fine leg"
"good length but well outside off, Kane shoulders arms"
"<b>outside edge goes past Gayle at slip</b> and runs away to the boundary. Played with an angled bat, but the angle still results in an edge. Gayle puts in a dive but it brushes past his finger tips"
"length ball outside off, glided to third man"
"good length outside off, steered to point's left"
"angling into him from slightly wide of the stumps, fuller ball, defended solidly"
"fuller outside off, driven to cover off the front foot"
"risky single. length ball into him, tucks it towards square leg. Short midwicket runs around and gets there, throws the stumps down, but Taylor is home"
"good length, on the off-stump line, and getting some carry. He gets behind it and defends"
"getting some shape away again, pitches on a length and moves, this time Williamson is not drawn into the drive, but lets it go"
"length ball on the stumps, defended with a straight bat"
"keeps it on a tight leash, with an off stump line and the safest option is to defend, which Kane does"
"fuller, swinging in a touch, jabbed towards mid-on"
"oooh, that's gone past the outside edge. He was playing inside the line, bowled from slightly wide of the crease and coming in"
"good length on off stump, patted back"
"<b>bounces to Gayle at slip</b>. Good length from wide of the crease and straightens, Taylor was looking to play it across, takes the edge. But bounces in front of Gayle"
pushed to cover
"he's taking a few steps down the pitch, perhaps to throw the bowler off his length. Pats this slightly fuller ball to mid-on"
"good length angling across, tries to cut it but chops it down near his feet"
"back of a length on leg stump, tucked off his hip towards square leg"
"back of a length on leg stump again, and he tucks it to square leg"
"goes length this time and on off stump, defended into the offside"
digs it in short - the first short ball perhaps of this innings and it's almost 7 overs in. Outside off and he arches out of the way
"overpitched outside off, and a confident front-foot cover drive unfurled. The men in the circle cut it off though"
"<b>ooh that's hit him on the glove</b>. Back of a length climbing into him, and Williamson ducked, taking his eyes off the ball. But it's not a bouncer and pings into the left glove. Painful undoubtedly"
"length ball, patted towards mid-on"
"fuller on the stumps, pushed to mid-on"
"length ball outside off, gets across and punches into the on-side"
"back of a length outside off, cuts it nicely but can't go past point"
"back of a length outside off, punched confidently but short cover is in place and fields"
"fuller length outside off, driven to mid-off"
"too full on off, worked across to the onside, but Brathwaite dives to his right at mid-on to stop the ball"
"angling into him on a length, flicked off his pads to square leg"
"angling into him again, worked across but straight to short midwicket"
"good length, nipping in from outside off, patted into the legside"
"fuller, straying on the pads again, and if clipped to deep square leg"
"fuller outside off, patted towards the bowler's left"
"good length, sticking to the angle into the right-hander, blocked with a straight bat"
"gets it too straight that time, which allows Taylor to tuck it off his pads to deep square leg"
"fuller length on off, driven to mid-off"
"length ball outside off, patted to cover"
"good length outside off, pushed to the bowler's left"
""
"good length, coming into him, clipped to square leg"
"length ball on the stumps, moves across and tucks it to fine leg. He's over-stepped too, so it'll be a free hit"
"bowls a nice short ball outside off, at good pace and Taylor swishes a pull and misses"
"another short ball, Taylor ducks under it"
"good length outside off, patted back to the bowler"
"length ball coming in a touch, clipped to short midwicket"
"fuller outside off, mis-times his drive to cover"
"fancy footwork at the fine leg boundary by Cottrell saves a boundary. Short ball on off, but cleverly played, he moves across and tapped it down very fine"
"fuller on off, defended back to the bowler"
"driven down the ground past mid-on, Oshane runs back from mid-on to field"
"fuller on the stumps, flicked to midwicket"
"good length outside off, steered to point"
