"good length ball on fifth stump from around the stumps, cut through point."
"good length ball on the stumps, defended back to Maxwell."
"full on the legs, clipped behind square."
"fullish length speared into off stump, defended back to Maxwell."
"shorter and wider on fifth stump with a touch of flight, guided off the back foot through cover."
"good length ball on the legs, goes back to flick through midwicket."
"full on middle and off, clipped through midwicket."
"length ball angled across fifth stump, punched crisply but picks out backward point."
"overpitched on fifth stump, drives firmly along the ground in front of point and it races away."
"fuller and straighter on off stump, drives straight to mid-off."
"back of a length on leg stump, skids on and beats his flick across the line, smashing him on the box. Stifled howls from Khawaja."
"fuller ball on leg stump at 130 kph, flicked in the air just wide of midwicket and goes to long-on for a run to keep strike."
"good length and very wide outside off, Khawaja beaten in flight but goes through with the shot checking out through cover."
"good length ball on leg stump, backs away and twists through midwicket."
"good length ball on sixth stump, goes to cut and beaten by extra bounce."
"good length again outside off, drives to cover and a misfield toward mid-off allows a run."
"fullish length ball on the legs, driven along the ground to deep midwicket."
"quicker ball flat on a good length on fourth stump, cuts off a thick edge to short third man for a tight run called through by Hales."
"good length ball on leg stump, shuffles down to clip through midwicket for an easy two."
"in the slot on off stump, Khawaja opens up to slam a straight drive down the pitch, beats mid-off to the rope."
"fuller and wider on fourth stump, drives this in the air whistling past Hales at the non-striker's end and careens past mid-off to the rope."
"Khawaja backs away from leg, Worrall responds with a legcutter at 125 kph outside leg on a good length, Khawaja fooled and can't get this away."
"full on leg stump, whips this through the leg side in front of square. Stoinis tracks a long way from deep backward square to cut this off at the rope."
"fullish length on fourth stump, defended into cover."
"good length ball on off, cuts through cover."
"backs away from leg stump, Maxwell follows him and he can only stroke this along the ground through square leg."
"uses his feet to a good length ball on fourth stump, clips it behind square."
"backs away from leg stump again, Maxwell tries to cramp him for room on a good length but too straight on leg stump and scoops this high over mid-on."
punches this off a good length through the leg side.
"quicker and flatter on off stump, stays in his crease to cut behind point."
"good length ball on middle, goes back to tip and run behind point. Direct hit from Lamichhane at short third man at the striker's end but Hales is well in."
"very full on middle and leg stump, big lbw shout after a missed flick at 150 kph. 50/50 call. The umpire thought long and hard but gives it not out. Touch and go missing leg stump."
"good length ball on middle and off at 146 kph, Hales pokes at this mistiming a drive back down the pitch."
"goes short on middle, pulled along the ground to deep midwicket."
"<strong>missed runout!</strong> Short on the body, awkwardly pulled behind square. Short fine leg has a free shot at the non-striker's end but the ball bounces over the stumps with Khawaja three yards short."
"<b>dropped!</b> Maddinson at short midwicket. Fullish length ball on the stumps, slapped uppishly toward midwicket in the ring. Maddinson reached up and parried it soccer goalkeeper style over his head falling behind him. He did a bunny hop thinking it might clear him but could have had a better attempt at the ball had he stayed grounded. 7/10 chance he turned into a 9/10 on degree of difficulty with an unnecessary jump. Ball hit his hands at neck height and muffed it badly. Should've been taken. Didn't come to him with as much juice as he anticipated."
"good length ball on the stumps, pushed into the covers."
good length ball clipped through midwicket
